ID,ra,dec,mu_V,M_V,A_V,r_50,ell
1,49.25154166666666,41.322388888888895,24.9,-15.0,0.4,1.9,0.08
2,49.26358333333333,41.34141666666667,25.9,-12.9,0.4,1.2,0.2
3,49.26841666666666,41.510888888888886,25.2,-12.7,0.4,0.8,0.17
4,49.279708333333325,41.38125,25.2,-14.5,0.4,1.7,0.08
5,49.29591666666666,41.56758333333334,25.3,-14.3,0.4,1.7,0.13
6,49.30537499999999,41.36877777777778,25.3,-12.9,0.4,0.9,0.1
7,49.31654166666666,41.33658333333334,25.1,-15.1,0.4,2.1,0.05
8,49.33212499999999,41.575694444444444,26.3,-13.7,0.4,2.1,0.21
9,49.34791666666666,41.52780555555555,25.1,-14.2,0.4,1.4,0.01
10,49.35391666666666,41.436027777777774,25.1,-13.6,0.4,1.1,0.17
11,49.39787499999999,41.303527777777774,25.2,-13.6,0.4,1.1,0.05
12,49.40324999999999,41.38377777777778,25.2,-14.0,0.4,1.4,0.09
13,49.409208333333325,41.53247222222222,25.1,-13.6,0.4,1.1,0.13
14,49.413416666666656,41.51763888888889,25.9,-13.9,0.4,1.7,0.09
15,49.41424999999999,41.4125,25.5,-13.7,0.4,1.3,0.13
16,49.42412499999999,41.400527777777775,25.8,-13.2,0.4,1.2,0.12
17,49.43399999999999,41.355111111111114,25.0,-14.4,0.4,1.5,0.15
18,49.45141666666666,41.310805555555554,25.9,-14.1,0.4,2.0,0.13
19,49.47154166666666,41.32552777777778,25.5,-13.9,0.4,1.4,0.03
20,49.47774999999999,41.416333333333334,25.2,-13.3,0.4,1.0,0.07
21,49.50337499999999,41.37305555555555,24.9,-13.6,0.4,1.0,0.11
22,49.52312499999999,41.46177777777778,25.8,-14.2,0.5,2.1,0.25
23,49.53979166666666,41.34263888888889,26.4,-12.2,0.5,1.0,0.12
24,49.55449999999999,41.53563888888889,25.3,-13.8,0.5,1.3,0.11
25,49.56433333333332,41.476444444444446,24.9,-13.4,0.5,0.9,0.17
26,49.58124999999999,41.32355555555556,26.5,-13.8,0.5,2.3,0.15
27,49.58662499999999,41.75813888888889,26.3,-14.0,0.4,2.3,0.14
28,49.59024999999999,41.757666666666665,25.9,-13.9,0.4,1.8,0.13
29,49.59720833333333,41.750166666666665,25.6,-14.7,0.4,2.2,0.04
30,49.59749999999999,41.60213888888889,25.6,-12.3,0.5,0.7,0.08
31,49.60133333333332,41.29186111111111,26.0,-15.5,0.5,4.1,0.17
32,49.60191666666666,41.30788888888888,26.5,-13.0,0.5,1.5,0.09
33,49.60774999999999,41.685249999999996,25.5,-14.0,0.5,1.5,0.06
34,49.61216666666666,41.23597222222222,25.7,-12.4,0.5,0.8,0.03
35,49.617416666666664,41.66347222222222,25.8,-13.9,0.5,1.9,0.21
36,49.621624999999995,41.69413888888889,26.2,-13.1,0.5,1.4,0.04
37,49.62649999999999,41.374944444444445,25.9,-12.1,0.5,0.8,0.13
38,49.63379166666666,41.464305555555555,25.4,-13.1,0.5,0.9,0.05
39,49.63387499999999,41.53675,25.2,-12.8,0.5,0.8,0.19
40,49.638541666666654,41.682249999999996,25.2,-13.9,0.5,1.3,0.12
41,49.63987499999999,41.699527777777774,25.2,-13.4,0.5,1.0,0.06
42,49.639999999999986,41.46263888888889,25.1,-13.5,0.5,1.0,0.04
43,49.64404166666666,41.405166666666666,26.1,-12.9,0.5,1.3,0.19
44,49.64470833333333,41.377916666666664,27.1,-13.6,0.5,2.6,0.09
45,49.65058333333332,41.3665,26.2,-13.9,0.5,2.2,0.22
46,49.65629166666666,41.404444444444444,26.3,-11.8,0.5,0.8,0.03
47,49.66233333333332,41.50188888888889,26.6,-12.8,0.5,1.5,0.13
48,49.66470833333333,41.65844444444444,25.8,-12.6,0.5,1.0,0.2
49,49.66599999999999,41.64955555555556,27.1,-12.7,0.5,1.9,0.26
50,49.66633333333332,41.33583333333333,26.3,-13.2,0.5,1.5,0.11
51,49.672416666666656,41.56702777777778,25.5,-13.7,0.5,1.5,0.27
52,49.67749999999999,41.6425,26.1,-12.3,0.5,0.9,0.04
53,49.68604166666666,41.56880555555556,25.4,-13.5,0.5,1.2,0.09
54,49.68729166666665,41.40566666666667,24.9,-13.9,0.5,1.1,0.11
55,49.69233333333332,41.41030555555555,26.2,-14.3,0.5,2.4,0.09
56,49.700083333333325,41.234,25.9,-14.3,0.5,2.3,0.23
57,49.70179166666666,41.67641666666666,27.1,-13.3,0.5,2.4,0.11
58,49.71141666666666,41.38586111111111,25.4,-13.0,0.4,1.0,0.17
59,49.72633333333332,41.25811111111111,24.9,-14.0,0.5,1.1,0.02
60,49.73074999999999,41.29722222222222,25.8,-12.5,0.5,1.0,0.18
61,49.747499999999995,41.420944444444444,26.0,-12.5,0.4,1.0,0.07
62,49.74758333333333,41.52186111111111,25.4,-13.9,0.4,1.4,0.07
63,49.756249999999994,41.64972222222222,25.8,-12.9,0.5,1.1,0.17
64,49.77429166666666,41.54288888888889,24.8,-13.8,0.4,1.1,0.09
65,49.782374999999995,41.453361111111114,24.8,-12.9,0.4,0.7,0.06
66,49.78883333333332,41.697694444444444,25.9,-12.5,0.5,0.9,0.06
67,49.80316666666666,41.725,25.2,-13.5,0.5,1.1,0.08
68,49.812541666666654,41.37547222222222,25.1,-13.3,0.4,0.9,0.06
69,49.81541666666666,41.50961111111111,25.1,-12.9,0.4,0.8,0.05
70,49.816083333333324,41.518277777777776,25.2,-14.2,0.4,1.4,0.03
71,49.816749999999985,41.76275,26.1,-13.3,0.5,1.4,0.05
72,49.82304166666666,41.21147222222223,26.7,-12.8,0.4,1.5,0.02
73,49.82429166666665,41.56344444444444,24.9,-13.7,0.4,1.0,0.07
74,49.84141666666665,41.456250000000004,24.9,-14.7,0.4,1.7,0.15
75,49.846083333333326,41.388,26.3,-13.7,0.4,2.1,0.2
76,49.84633333333332,41.64963888888889,26.0,-13.4,0.5,1.5,0.11
77,49.88649999999999,41.60355555555556,25.7,-13.6,0.4,1.4,0.09
78,49.89083333333332,41.609027777777776,24.8,-13.6,0.5,1.1,0.34
79,49.91329166666666,41.20155555555556,25.4,-14.4,0.4,1.8,0.06
80,49.913416666666656,41.228750000000005,26.3,-12.8,0.4,1.3,0.07
81,49.93345833333332,41.65511111111111,26.9,-13.8,0.4,2.7,0.14
82,49.94024999999999,41.468694444444445,26.1,-13.9,0.4,2.0,0.13
83,49.947708333333324,41.73591666666667,26.0,-12.9,0.4,1.2,0.07
84,49.95708333333332,41.728500000000004,24.8,-13.5,0.4,0.9,0.05
85,49.95887499999999,41.415638888888886,25.5,-13.7,0.4,1.3,0.05
86,49.96066666666666,41.259277777777775,25.6,-12.1,0.4,0.7,0.17
87,49.98920833333332,41.492000000000004,25.0,-13.3,0.4,0.9,0.05
88,49.99624999999999,41.309194444444444,24.8,-15.5,0.4,2.2,0.02
89,50.000833333333325,41.284749999999995,25.7,-13.5,0.4,1.4,0.1
